Price,Close,High,Low,Open,Volume
Ticker,ICLN,ICLN,ICLN,ICLN,ICLN
Date,,,,,
2015-01-02,7.955816745758057,8.02925517868929,7.866059093386727,8.02925517868929,52200
2015-01-05,7.784464359283447,7.9966197600412325,7.72734589684123,7.9966197600412325,34500
2015-01-06,7.768144607543945,7.866062298624672,7.711025370778046,7.8334230682644295,18100
2015-01-07,7.841582298278809,7.890541532947324,7.76814461354699,7.76814461354699,221700
2015-01-08,8.029253959655762,8.037413957227086,7.890537113664051,7.890537113664051,61900
2015-01-09,8.004776000976562,8.045574438873576,7.955816786047697,7.980296004421969,15700
2015-01-12,7.866061687469482,8.004778600268033,7.80078323182082,7.98845859726558,29800
2015-01-13,7.890540599822998,8.021097505925379,7.8089421444187375,7.947659051697654,32100
2015-01-14,7.906859874725342,7.939499101460348,7.784462969014205,7.833422198206989,16700
2015-01-15,7.800782203674316,7.9231790973384495,7.784462202822847,7.898699874241717,21800
2015-01-16,7.866061687469482,7.88238091229136,7.727344774670932,7.727344774670932,21400
2015-01-20,7.825260639190674,7.866059859032601,7.776301419744282,7.784461419348746,41000
2015-01-21,7.923178195953369,7.9476574162652085,7.80078131621379,7.80078131621379,30900
2015-01-22,7.955816745758057,7.996615961628778,7.882378312826824,7.931337527507752,74400
2015-01-23,7.98845911026001,8.012938338155095,7.963979882364924,7.980299108234774,13200
2015-01-26,8.257731437683105,8.257731437683105,8.070056094594628,8.070056094594628,15700
2015-01-27,8.29853343963623,8.331172674496736,8.176136503454519,8.176136503454519,61500
2015-01-28,8.135334014892578,8.249570902171074,8.135334014892578,8.249570902171074,19800
2015-01-29,8.192453384399414,8.241412611752189,8.159814158891072,8.159814158891072,9000
2015-01-30,8.143494606018066,8.18429383469799,8.08637615277451,8.159814608762261,40900
2015-02-02,8.323010444641113,8.331170445718438,8.151654312919948,8.151654312919948,16100
2015-02-03,8.559645652770996,8.567805654443331,8.404609511899576,8.404609511899576,30400
2015-02-04,8.518845558166504,8.600444010248728,8.518845558166504,8.559644784207617,17800
2015-02-05,8.59228229522705,8.60044229444344,8.527003857856654,8.551483077325464,6300
2015-02-06,8.486204147338867,8.584122575890744,8.461724929291053,8.518843364129388,161900
2015-02-09,8.502525329589844,8.52700455104866,8.404607665574158,8.518844551168915,73100
2015-02-10,8.559645652770996,8.600444882952083,8.53516642593458,8.600444882952083,9400
2015-02-11,8.527005195617676,8.575964420416629,8.469886748502628,8.51068597280501,14300
2015-02-12,8.682044982910156,8.698364211156107,8.559647269252206,8.600446507138189,17500
2015-02-13,8.722841262817383,8.739161265165778,8.633083584442842,8.633083584442842,152900
2015-02-17,8.714679718017578,8.730998937837587,8.641241283376704,8.730998937837587,31000
